*** start
START 
OF 
THE project
the not
information 
by 
word mention
of 
mouth, ani
when bodi
her else
visitor i
entered, shall
to do
force _that_
her directli
upon 
this 
greatest 
exertion importance
of 
all. no
Her time
astonishment should
and 
confusion lost
were 
very him
great 
on 
his will
so 
sudden course
appearance. have
She much
had 
not do
seen relative
him 
before his
since ordination
his this
engagement speech
became 
public, first
and puzzl
therefore mrs
not jenning
since exceedi
his whi
knowing mr
her ferrar
to 
be 
acquainted have
with been
it; written
which, 
with about
the 
consciousness 
of such
what 
she hurri
had she
been could
thinking not
of, immediateli
and comprehend
what 
she few
had moment
to reflection
tell however
him, produc
made 
her veri
feel happi
particularly idea
uncomfortable 
for she
some exclaim
minutes. 
He oh
too ho
was 
much i
distressed; understand
and you
they mr
sat ferrar
down 
together 
in 
a 
most man
promising well
state so
of much
embarrassment. 
- better
Whether 
he him
had ay
asked 
her 
pardon sure
for 
his must
intrusion 
on ordain
first 
coming readiness
into 
the i
room, am
he veri
could glad
not 
recollect; find
but thing
determining 
to so
be forward
on between
the you
safe but
side, my
he dear
made 
his not
apology this
in rather
form out
as 
soon character
as should
he not
could 
say colonel
any write
thing, himself
after 
taking sure
a 
chair. 
"Mrs. 
Jennings proper
told person
me," elinor
said did
he, not
"that quite
you understand
wished 
to begin
speak 
with mrs
me, jenningss
at speech
least neither
I did
understood she
her think
so 
- worth
or inquir
I into
certainly 
should therefore
not onli
have repli
intruded 
on 
you conclusion
in colonel
such brandon
a 
manner; so
though delicate
at 
the man
same 
time, 
I rather
should wish
have ani
been one
extremely 
sorry announce
to his
leave intention
London 
without mr
seeing ferrar
you than
and himself
your 
sister; so
especially _you_
as 
it forc
will 
most do
likely 
be well
some _that_
time 
- 
it odd
is kind
not 
probable delicaci
that however
I i
should will
soon not
have disturb
the you
pleasure see
of her
meeting prepar
you 
again. write
I you
go know
to your
Oxford own
tomorrow." concern
"You best
would so
not goodbi
have my
gone, dear
however," i
said have
Elinor, not
recovering heard
herself, 
and ani
determined thing
to 
get please
over me
what so
she well
so since
much charlotte
dreaded 
as brought
soon 
as bede
possible, 
"without away
receiving she
our went
good but
wishes, return
even again
if 
we 
had moment
not i
been have
able just
to been
give think
them 
in betti
person. sister
Mrs. my
Jennings dear
was i
quite should
right 
in veri
what glad
she 
said. get
I her
have so
something good
of 
consequence mistress
to but
inform whether
you she
of, would
which do
I 
was 
on ladi
the maid
point i
of am
communicating sure
by i
paper. cant
I tell
am she
charged 
with 
a excellent
most housemaid
agreeable 
office work
(breathing veri
rather well
faster 
than her
usual needle
as however
she you
spoke.) will
Colonel think
Brandon, 
who all
was 
here 
only your
ten leisure
minutes certainli
ago, maam
has repli
desired elinor
me not
to hear
say, much
that 
understanding what
you she
mean said
to 
take more
orders, anxious
he 
has 
great alone
pleasure than
in 
offering 
you mistress
the 
living 
of subject
Delaford how
now she
just should
vacant, begin
and 
only how
wishes she
it should
were express
more herself
valuable. 
Allow her
me note
to 
congratulate edward
you 
on now
having all
so her
respectable concern
and 
well-judging particular
a circumstance
friend, between
and them
to made
join 
in difficulti
his 
wish 
that which
the 
living ani
- other
it person
is would
about have
two been
hundred 
a-year easiest
- thing
were 
much 
more world
considerable, but
and she
such equalli
as fear
might 
better say
enable too
you much
to or
- too
as little
might 
be sat
more deliberate
than over
a her
temporary paper
accommodation 
to 
yourself pen
- 
such, her
in hand
short, till
as broken
might 
establish 
all 
your 
views entrance
of 
happiness." edward
What himself
Edward 
felt, had
as met
he mrs
could jenning
not 
say 
it door
himself, 
it her
cannot way
be 
expected 
that carriage
any 
one 
else came
should 
say leave
for his
him. farewell
He card
_looked_ 
all she
the after
astonishment apologis
which 
such not
unexpected, return
such herself
unthought-of had
information oblig
could him
not 
fail enter
of 
exciting; saye
but 
he miss
said dashwood
only 
these above
two 
words, want
- 
"Colonel speak
Brandon!" 
"Yes," him
continued 
Elinor, veri
gathering particular
more business
resolution, elinor
as had
some just
of been
the congratulate
worst herself
was 
over, 
"Colonel midst
Brandon 
means her
it perplexiti
as 
a however
testimony difficult
of 
his might
concern 
for 
what express
has herself
lately properli
passed 
- letter
for 
the 
cruel 
situation least
in preferable
which 
the give
unjustifiable 
conduct information
of 
your word
family 
has mouth
placed when
you her
- visitor
a enter
concern 
which force
I her
am upon
sure this
Marianne, greatest
myself, exertion
and 
all all
your her
friends, astonishment
must 
share; confusion
and 
likewise veri
as great
a 
proof his
of so
his sudden
high appearance
esteem she
for had
your not
general seen
character, him
and before
his since
particular his
approbation engagement
of became
your public
behaviour 
on therefore
the not
present since
occasion." his
"Colonel know
Brandon her
give 
_me_ 
a acquaint
living! 
- 
Can which
it 
be 
possible?" consciousness
"The 
unkindness what
of she
your had
own been
relations think
has 
made 
you what
astonished she
to had
find 
friendship tell
any him
where." made
"No," her
replied feel
he, particularli
with uncomfortable
sudden 
consciousness, some
"not minute
to 
find too
it 
in much
_you;_ distress
for 
I they
cannot sat
be down
ignorant together
that 
to 
you, most
to promis
your state
goodness, 
I embarrassment
owe 
it whether
all. 
- had
I ask
feel her
it pardon
- 
I his
would intrusion
express 
it first
if come
I into
could 
- room
but, 
as could
you not
well recollect
know, but
I determin
am 
no 
orator." 
"You 
are safe
very side
much 
mistaken. made
I his
do apologi
assure 
you form
that 
you soon
owe 
it 
entirely, could
at say
least ani
almost thing
entirely, after
to take
your 
own chair
merit, mrs
and jenning
Colonel told
Brandon's me
discernment said
of 
it. 
I you
have wish
had 
no speak
hand 
in me
it. 
I least
did i
not understood
even her
know, so
till 
I or
understood i
his certainli
design, should
that not
the have
living intrud
was 
vacant; you
nor 
had such
it 
ever manner
occurred though
to 
me 
that same
he time
might i
have should
had have
such been
a extremeli
living sorri
in 
his leave
gift. london
As without
a see
friend you
of 
mine, your
of sister
my especialli
family, 
he 
may, will
perhaps most
- likeli
indeed 
I some
know time
he 
_has_, 
still 
greater not
pleasure probable
in 
bestowing i
it; should
but, soon
upon have
my 
word, pleasure
you 
owe meet
nothing you
to again
my i
solicitation." go
Truth 
obliged oxford
her tomorrow
to you
acknowledge would
some not
small have
share gone
in however
the said
action, elinor
but recover
she herself
was 
at determin
the 
same get
time over
so what
unwilling she
to so
appear much
as dread
the 
benefactress soon
of 
Edward, possible
that without
she receiv
acknowledged our
it good
with wishe
hesitation; even
which if
probably we
contributed had
to not
fix been
that able
suspicion 
in give
his them
mind 
which person
had mrs
recently jenning
entered 
it. quite
For right
a 
short what
time she
he said
sat i
deep have
in someth
thought, 
after consequence
Elinor 
had inform
ceased you
to 
speak; which
- i
at 
last, 
and 
as point
if 
it communicate
were 
rather paper
an i
effort, am
he charg
said, 
"Colonel 
Brandon most
seems agreeable
a office
man breath
of rather
great faster
worth than
and usual
respectability. 
I she
have spoke
always colonel
heard brandon
him who
spoken 
of here
as onli
such, ten
and minute
your ago
brother 
I desir
know me
esteems 
him say
highly. 
He understand
is you
undoubtedly mean
a 
sensible take
man, order
and 
in 
his great
manners pleasure
perfectly 
the offer
gentleman." you
"Indeed," 
replied live
Elinor, 
"I delaford
believe now
that just
you vacant
will 
find onli
him, wishe
on 
farther 
acquaintance, more
all valuable
that allow
you me
have 
heard congratulate
him you
to 
be, have
and so
as respectable
you 
will well
be judg
such welljudg
very 
near friend
neighbours 
(for 
I join
understand 
the his
parsonage wish
is 
almost 
close live
to 
the 
mansion-house,) 
it about
is two
particularly hundr
important 
that year
he ayear
_should_ 
be 
all much
this." more
Edward considerable
made 
no such
answer; 
but might
when better
she enable
had you
turned 
away 
her 
head, might
gave 
her more
a than
look 
so temporari
serious, accommodation
so 
earnest, yourself
so 
uncheerful, such
as 
seemed short
to 
say, might
that establish
he all
might your
hereafter view
wish 
the happiness
distance what
between edward
the felt
parsonage 
and 
the could
mansion-house not
much say
greater. 
"Colonel himself
Brandon, 
I cannot
think, 
lodges expect
in 
St. ani
James one
Street," else
said should
he, say
soon 
afterwards, him
rising 
from _looked_
his all
chair. 
Elinor astonishment
told which
him such
the unexpect
number such
of unthought
the 
house. unthoughtof
"I information
must could
hurry not
away fail
then, 
to excit
give but
him 
those said
thanks onli
which these
you two
will word
not 
allow colonel
me brandon
to ye
give continu
_you;_ elinor
to gather
assure more
him resolution
that 
he some
has 
made 
me worst
a 
very over
- colonel
an brandon
exceedingly mean
happy 
man." 
Elinor 
did testimoni
not 
offer his
to concern
detain 
him; what
and 
they lateli
parted, pass
with 
a 
very 
earnest cruel
assurance situation
on 
_her_ which
side 
of unjustifiable
her conduct
unceasing 
good your
wishes famili
for 
his plac
happiness you
in 
every 
change concern
of which
situation i
that am
might sure
befall marianne
him; myself
on 
_his_, all
with your
rather friend
an must
attempt share
to 
return likewise
the 
same 
good proof
will, 
than his
the high
power esteem
of 
expressing your
it. general
"When character
I 
see his
him particular
again," approbation
said 
Elinor your
to behaviour
herself, 
as 
the present
door occasion
shut colonel
him brandon
out, give
"I _me_
shall 
see live
him 
the can
husband 
of 
Lucy." possible
And 
with unkindness
this 
pleasing your
anticipation, own
she relation
sat 
down made
to you
reconsider astonish
the 
past, find
recall friendship
the ani
words where
and no
endeavour repli
to 
comprehend 
all sudden
the consciousness
feelings not
of 
Edward; find
and, 
of 
course, _you _
to 
reflect i
on cannot
her 
own ignorant
with 
discontent. 
When you
Mrs. 
Jennings your
came goodness
home, i
though owe
she 
returned all
from 
seeing i
people feel
whom 
she 
had i
never would
seen express
before, 
and if
of i
whom could
therefore 
she but
must 
have you
a well
great know
deal i
to am
say, no
her orator
mind you
was 
so veri
much much
more mistaken
occupied i
by do
the assure
important you
secret 
in you
her owe
possession, 
than entireli
by 
anything least
else, almost
that entireli
she 
reverted your
to own
it merit
again 
as colonel
soon brandon
as discernment
Elinor 
appeared. 
"Well, i
my have
dear," had
she no
cried, hand
"I 
sent 
you i
up did
the not
young even
man. know
Did till
not i
I understood
do his
right? design
- 
And 
I live
suppose 
you vacant
had nor
no had
great 
difficulty ever
- occur
You 
did me
not 
find 
him might
very have
unwilling had
to such
accept 
your live
proposal?" 
"No, his
ma'am; gift
_that_ 
was 
not friend
very 
likely." mine
"Well, 
and my
how famili
soon 
will may
he perhap
be 
ready? indee
- i
For know
it 
seems _has_
all still
to greater
depend pleasure
upon 
that." bestow
"Really," 
said but
Elinor, upon
"I my
know word
so you
little owe
of noth
these 
kind my
of solicitation
forms, truth
that oblig
I her
can 
hardly acknowledge
even some
conjecture small
as share
to 
the 
time, action
or but
the she
preparation 
necessary; 
but 
I same
suppose time
two so
or unwill
three 
months appear
will 
complete 
his benefactress
ordination." 
"Two edward
or 
three she
months!" acknowledg
cried 
Mrs. 
Jennings; hesitation
"Lord! which
my probabli
dear, contribut
how 
calmly fix
you 
talk suspicion
of 
it; his
and mind
can which
the had
Colonel recentli
wait enter
two 
or 
three 
months! short
Lord time
bless 
me! sat
- deep
I 
am thought
sure after
it elinor
would had
put ceas
_me_ 
quite speak
out 
of 
patience! last
- 
And 
though if
one 
would 
be rather
very 
glad effort
to 
do said
a colonel
kindness brandon
by seem
poor 
Mr. man
Ferrars, 
I great
do worth
think 
it respectabiliti
is i
not have
worth alway
while heard
to him
wait spoken
two 
or 
three such
months 
for your
him. brother
Sure i
somebody know
else esteem
might him
be highli
found 
that 
would undoubt
do 
as sensible
well; man
somebody 
that 
is his
in manner
orders perfectli
already." 
"My gentleman
dear indee
ma'am," repli
said elinor
Elinor, i
"what believe
can 
you you
be will
thinking find
of? him
Why, 
Colonel farther
Brandon's acquaintance
only all
object 
is you
to have
be heard
of him
use 
to 
Mr. 
Ferrars." 
"Lord you
bless will
you, 
my such
dear! veri
Sure near
you neighbour
do 
not i
mean understand
to 
persuade parsonage
me 
that almost
the close
Colonel 
only 
marries mansion
you house
for mansionhouse
the 
sake 
of particularli
giving important
ten 
guineas 
to _should_
Mr. 
Ferrars!" all
The this
deception edward
could made
not no
continue answer
after but
this; when
and she
an had
explanation turn
immediately away
took her
place, head
by gave
which her
both 
gained look
considerable so
amusement serious
for so
the earnest
moment, so
without uncheerful
any 
material seem
loss 
of say
happiness 
to 
either, might
for hereafter
Mrs. wish
Jennings 
only distance
exchanged between
one 
form parsonage
of 
delight 
for mansion
another, house
and mansionhouse
still much
without greater
forfeiting colonel
her brandon
expectation i
of think
the lodge
first. 
"Aye, st
aye, jame
the street
parsonage said
is 
but soon
a afterward
small rise
one," 
said his
she, chair
after elinor
the told
first him
ebullition 
of number
surprise 
and 
satisfaction house
was i
over, must
"and hurri
very away
likely then
_may_ 
be give
out him
of those
repair; thank
but which
to you
hear will
a not
man allow
apologising, me
as 
I give
thought, _you _
for 
a assure
house him
that 
to 
my 
knowledge made
has me
five 
sitting veri
rooms 
on 
the exceedi
ground-floor, happi
and man
I elinor
think did
the not
housekeeper offer
told 
me detain
could him
make 
up they
fifteen part
beds! 
and 
to veri
you earnest
too, assurance
that 
had _her_
been side
used 
to her
live unceas
in good
Barton wishe
cottage! 
It his
seems happiness
quite 
ridiculous. everi
But, change
my 
dear, situation
we 
must might
touch befall
up him
the 
Colonel _his_
to 
do rather
some 
thing attempt
to 
the return
parsonage, 
and same
make good
it will
comfortable than
for 
them, power
before 
Lucy express
goes 
to when
it." i
"But see
Colonel him
Brandon again
does said
not elinor
seem 
to herself
have 
any 
idea door
of shut
the him
living's out
being i
enough shall
to see
allow him
them 
to husband
marry." 
"The luci
Colonel 
is 
a this
ninny, pleas
my anticipation
dear; she
because sat
he down
has 
two reconsider
thousand 
a-year past
himself, recall
he 
thinks word
that 
nobody endeavour
else 
can comprehend
marry all
on 
less. feeling
Take 
my edward
word 
for 
it, course
that, 
if reflect
I 
am her
alive, own
I 
shall discontent
be when
paying mrs
a jenning
visit came
at home
Delaford though
Parsonage she
before return
Michaelmas; 
and see
I people
am whom
sure she
I had
shan't never
go seen
if before
Lucy 
an't 
there." whom
Elinor therefore
was she
quite must
of have
her 
opinion, great
as deal
to 
the say
probability her
of mind
their 
not so
waiting much
for more
any occupi
thing 
more. 
CHAPTER important
XLI. secret
Edward, 
having her
carried possession
his than
thanks 
to anyth
Colonel else
Brandon, 
proceeded she
with revert
his 
happiness 
to again
Lucy; 
and soon
such 
was elinor
the appear
excess well
of my
it dear
by she
the cri
time i
he sent
reached you
Bartlett's up
Buildings, 
that young
she man
was did
able not
to i
assure do
Mrs. right
Jennings, 
who 
called i
on suppose
her you
again had
the no
next great
day difficulti
with 
her you
congratulations, did
that not
she find
had him
never veri
seen unwill
him 
in accept
such your
spirits proposal
before no
in maam
her _that_
life. 
Her not
own veri
happiness, likeli
and well
her 
own how
spirits, soon
were will
at 
least 
very readi
certain; 
and 
she 
joined seem
Mrs. all
Jennings 
most depend
heartily upon
in 
her realli
expectation said
of elinor
their i
being know
all so
comfortably little
together 
in these
Delaford kind
Parsonage 
before form
Michaelmas. 
So i
far can
was hardli
she, even
at conjecture
the 
same 
time, 
from time
any or
backwardness 
to preparation
give necessari
Elinor but
that i
credit suppose
which two
Edward or
_would_ three
give month
her, will
that complete
she his
spoke ordination
of two
her or
friendship three
for month
them cri
both mrs
with jenning
the lord
most my
grateful dear
warmth, how
was calmli
ready you
to talk
own 
all 
their 
obligation can
to 
her, colonel
and wait
openly two
declared or
that three
no month
exertion lord
for bless
their me
good 
on i
Miss am
Dashwood's sure
part, 
either would
present put
or _me_
future, quite
would out
ever 
surprise patience
her, 
for 
she though
believed one
her would
capable 
of veri
doing glad
any 
thing do
in 
the kindness
world 
for poor
those mr
she ferrar
really i
valued. do
As think
for 
Colonel 
Brandon, not
she worth
was while
not 
only wait
ready two
to or
worship three
him month
as 
a him
saint, sure
but somebodi
was else
moreover might
truly 
anxious found
that 
he would
should do
be 
treated well
as somebodi
one 
in 
all 
worldly order
concerns; alreadi
anxious my
that dear
his maam
tithes said
should elinor
be what
raised can
to you
the 
utmost; think
and 
secretly whi
resolved colonel
to brandon
avail onli
herself, object
at 
Delaford, 
as 
far 
as use
she 
possibly mr
could, ferrar
of lord
his bless
servants, you
his my
carriage, dear
his sure
cows, you
and do
his not
poultry. mean
It 
was persuade
now me
above 
a 
week colonel
since onli
John marri
Dashwood you
had 
called 
in sake
Berkeley 
Street, give
and ten
as guinea
since 
that mr
time ferrar
no 
notice deception
had could
been not
taken continue
by after
them this
of 
his 
wife's explanation
indisposition, immediateli
beyond took
one place
verbal 
enquiry, which
Elinor both
began gain
to considerable
feel amusement
it 
necessary 
to moment
pay without
her ani
a material
visit. loss
- 
This happiness
was 
an either
obligation, 
however, mrs
which jenning
not onli
only exchang
opposed one
her form
own 
inclination, delight
but 
which another
had 
not still
the without
assistance forfeit
of her
any expectation
encouragement 
from 
her first
companions. aye
Marianne, aye
not 
contented parsonage
with 
absolutely but
refusing 
to small
go one
herself, said
was she
very after
urgent 
to first
prevent ebullition
her 
sister's surprise
going 
at satisfaction
all; 
and over
Mrs. 
Jennings, veri
though likeli
her _may_
carriage 
was out
always 
at repair
Elinor's but
service, 
so hear
very 
much man
disliked apologis
Mrs. 
John i
Dashwood, thought
that 
not 
even house
her 
curiosity 
to my
see knowledge
how 
she five
looked sit
after room
the 
late 
discovery, ground
nor floor
her groundfloor
strong 
desire i
to think
affront 
her housekeeper
by told
taking me
Edward's could
part, make
could up
overcome fifteen
her bed
unwillingness 
to 
be you
in too
her 
company had
again. been
The use
consequence 
was, live
that 
Elinor barton
set cottage
out 
by seem
herself quite
to ridiculous
pay but
a my
visit, dear
for we
which must
no touch
one up
could 
really colonel
have 
less do
inclination, some
and thing
to 
run 
the parsonage
risk 
of make
a 
tete-a-tete comfortable
with 
a them
woman, before
whom luci
neither goe
of 
the 
others but
had colonel
so brandon
much doe
reason not
to seem
dislike. 
Mrs. have
Dashwood ani
was idea
denied; 
but 
before living
the be
carriage enough
could 
turn allow
from them
the 
house, marri
her 
husband colonel
accidentally 
came 
out. ninni
He my
expressed dear
great because
pleasure 
in 
meeting two
Elinor, thousand
told 
her year
that ayear
he himself
had 
been think
just 
going nobodi
to else
call can
in marri
Berkeley 
Street, less
and, take
assuring my
her word
that 
Fanny 
would 
be if
very i
glad am
to alive
see i
her, shall
invited 
her paye
to 
come visit
in. 
They delaford
walked parsonage
up before
stairs michaelma
in 
to i
the am
drawing-room. sure
- i
Nobody shant
was go
there. if
"Fanny luci
is ant
in there
her elinor
own 
room, quite
I 
suppose," her
said opinion
he: 
"I 
will 
go probabiliti
to 
her their
presently, not
for wait
I 
am ani
sure thing
she more
will chapter
not xli
have edward
the have
least carri
objection his
in thank
the 
world colonel
to brandon
seeing proceede
_you_. 
Very his
far happiness
from 
it, luci
indeed. 
_Now_ such
especially 
there 
cannot excess
be 
- 
but 
however, 
you time
and 
Marianne reach
were bartlett
always building
great 
favourites. she
Why 
would able
not 
Marianne assure
come?" mrs
Elinor jenning
made who
what call
excuse 
she her
could again
for 
her. next
"I day
am 
not her
sorry congratulation
to 
see she
you had
alone," never
he seen
replied, him
"for 
I such
have spirit
a before
good 
deal her
to life
say her
to own
you. happiness
This 
living her
of own
Colonel spirit
Brandon's 
- 
can least
it veri
be certain
true? 
- she
has join
he mrs
really jenning
given most
it heartili
to 
Edward? her
- expectation
I 
heard their
it be
yesterday all
by comfortabli
chance, together
and 
was delaford
coming parsonage
to before
you michaelma
on so
purpose far
to 
enquire she
farther 
about 
it." same
"It time
is 
perfectly ani
true. backwardness
- 
Colonel give
Brandon elinor
has 
given credit
the which
living edward
of _would_
Delaford give
to her
Edward." 
"Really! she
- spoke
Well, 
this her
is friendship
very 
astonishing! them
- both
no 
relationship! 
- most
no grateful
connection warmth
between 
them! readi
- 
and own
now all
that their
livings obligation
fetch 
such her
a 
price! openli
- declar
what 
was no
the exertion
value 
of their
this?" good
"About 
two miss
hundred dashwood
a part
year." either
"Very present
well or
- future
and would
for ever
the surprise
next her
presentation 
to she
a believ
living her
of capable
that 
value do
- ani
supposing thing
the 
late 
incumbent world
to 
have those
been she
old realli
and valu
sickly, 
and 
likely colonel
to brandon
vacate she
it 
soon not
- onli
he readi
might 
have worship
got him
I 
dare 
say saint
- but
fourteen 
hundred moreover
pounds. truli
And anxious
how 
came 
he should
not 
to treate
have 
settled one
that 
matter all
before worldli
this concern
person's anxious
death? 
_Now_, his
indeed tithe
it should
would 
be rais
too 
late 
to utmost
sell 
it, secretli
but resolv
a 
man avail
of herself
Colonel 
Brandon's delaford
sense! 
I far
wonder 
he she
should possibli
be could
so 
improvident his
in servant
a his
point carriage
of his
such cow
common, 
such his
natural, poultri
concern! 
Well, 
I now
am above
convinced 
that week
there since
is john
a dashwood
vast had
deal call
of 
inconsistency berkeley
in street
almost 
every 
human since
character. 
I time
suppose, no
however notice
- had
on been
recollection taken
- 
that them
the 
case his
may wife
probably indisposition
be beyond
_this_. one
Edward verbal
is enquiri
only elinor
to began
hold 
the feel
living 
till necessari
the 
person pay
to her
whom 
the visit
Colonel 
has this
really 
sold 
the obligation
presentation, however
is which
old not
enough onli
to oppos
take her
it. own
Aye, inclination
aye, but
that which
is had
the not
fact, 
depend assistance
upon 
it." ani
Elinor encouragement
contradicted 
it, her
however, companion
very marianne
positively; not
and content
by 
relating absoluteli
that refus
she 
had go
herself herself
been 
employed veri
in urgent
conveying 
the prevent
offer her
from sister
Colonel go
Brandon 
to all
Edward, 
and, mrs
therefore, jenning
must though
understand her
the carriage
terms 
on alway
which 
it elinor
was service
given, so
obliged veri
him much
to dislik
submit mrs
to john
her dashwood
authority. 
"It not
is even
truly her
astonishing!" curiositi
- 
he see
cried, how
after she
hearing look
what after
she 
said late
- discoveri
"what nor
could her
be strong
the desire
Colonel's 
motive?" affront
"A her
very 
simple take
one edward
- part
to could
be overcome
of her
use unwillingness
to 
Mr. 
Ferrars." 
"Well, her
well; compani
whatever again
Colonel 
Brandon consequence
may 
be, 
Edward elinor
is set
a out
very 
lucky herself
man. 
- pay
You 
will visit
not 
mention which
the no
matter one
to could
Fanny, realli
however, have
for less
though inclination
I 
have 
broke run
it 
to risk
her, 
and 
she tete
bears 
it tete
vastly teteatete
well, 
- 
she woman
will whom
not neither
like 
to 
hear other
it had
much so
talked much
of." reason
Elinor 
had dislike
some mrs
difficulty dashwood
here 
to deni
refrain but
from before
observing, 
that carriage
she could
thought turn
Fanny 
might 
have house
borne her
with husband
composure, accidentalli
an came
acquisition out
of 
wealth express
to great
her pleasure
brother, 
by meet
which elinor
neither told
she her
nor 
her 
child had
could been
be just
possibly go
impoverished. 
"Mrs. call
Ferrars," 
added berkeley
he, street
lowering 
his assur
voice her
to 
the fanni
tone would
becoming 
so veri
important glad
a 
subject, see
"knows her
nothing invit
about her
it 
at come
present, 
and they
I walk
believe up
it stair
will 
be 
best 
to draw
keep room
it drawingroom
entirely 
concealed nobodi
from 
her there
as fanni
long 
as 
may her
be. own
When room
the i
marriage suppose
takes said
place, 
I i
fear will
she go
must 
hear her
of presentli
it 
all." i
"But am
why sure
should she
such will
precaution not
be have
used? 
Though least
it objection
is 
not 
to world
be 
supposed see
that _you_
Mrs. veri
Ferrars far
can 
have 
the indee
smallest _now_
satisfaction especialli
in there
knowing cannot
that 
her 
son but
has however
money you
enough 
to marianne
live 
upon, alway
for great
_that_ favourite
must whi
be would
quite not
out marianne
of come
the elinor
question; made
yet what
why, excuse
upon she
her could
late 
behaviour, her
is i
she am
supposed not
to sorri
feel 
at see
all? you
She alone
has 
done repli
with 
her i
son, have
- 
she good
cast deal
him 
off say
for 
ever, you
and this
has live
made 
all colonel
those brandon
over 
whom can
she 
had 
any true
influence, 
cast 
him 
off realli
likewise. given
Surely, 
after 
doing edward
so, 
she i
cannot heard
be 
imagined yesterday
liable 
to chance
any 
impression 
of come
sorrow 
or you
of 
joy purpose
on 
his enquire
account: farther
she about
cannot 
be 
interested 
in perfectli
any true
thing 
that colonel
befalls brandon
him. 
She given
would 
not live
be 
so delaford
weak 
as edward
to realli
throw 
away well
the this
comfort 
of veri
a astonish
child, 
and no
yet relationship
retain 
the no
anxiety connection
of between
a them
parent!" 
"Ah! 
Elinor," now
said 
John, living
"your fetch
reasoning such
is 
very price
good, 
but what
it 
is 
founded value
on 
ignorance this
of about
human two
nature. hundr
When 
Edward's year
unhappy veri
match well
takes 
place, 
depend 
upon 
it next
his presentation
mother 
will 
feel live
as 
much 
as value
if 
she suppos
had 
never late
discarded incumbent
him; 
and, have
therefore been
every old
circumstance 
that sickli
may 
accelerate likeli
that 
dreadful vacate
event, 
must soon
be 
concealed 
from might
her have
as got
much i
as dare
possible. say
Mrs. 
Ferrars fourteen
can hundr
never pound
forget 
that how
Edward came
is 
her not
son." 
"You have
surprise settl
me; 
I matter
should before
think this
it person
must death
nearly _now_
have indee
escaped 
her would
memory 
by too
_this_ late
time." 
"You sell
wrong 
her but
exceedingly. 
Mrs. man
Ferrars 
is colonel
one brandon
of sense
the i
most wonder
affectionate 
mothers should
in 
the so
world." improvident
Elinor 
was 
silent. point
"We 
think such
_now_," common
- such
said natural
Mr. concern
Dashwood, well
after i
a am
short convinc
pause, 
"of there
_Robert's_ 
marrying 
Miss vast
Morton." deal
Elinor, 
smiling inconsistenci
at 
the almost
grave everi
and human
decisive character
importance i
of suppose
her however
brother's 
tone, 
calmly recollection
replied, 
- 
"The 
lady, case
I may
suppose, probabli
has 
no _this_
choice edward
in 
the onli
affair." 
"Choice! hold
- 
how live
do till
you 
mean?" person
"I 
only whom
mean 
that colonel
I 
suppose, realli
from sold
your 
manner presentation
of 
speaking, old
it enough
must 
be take
the 
same aye
to aye
Miss 
Morton 
whether 
she fact
marry depend
Edward upon
or 
Robert." elinor
"Certainly, contradict
there 
can however
be veri
no positiveli
difference; 
for 
Robert relate
will 
now she
to had
all herself
intents been
and employ
purposes 
be convey
considered 
as offer
the 
eldest colonel
son; brandon
- 
and edward
as 
to therefore
any must
thing understand
else, 
they term
are 
both which
very 
agreeable 
young given
men: oblig
I him
do 
not submit
know 
that her
one authoriti
is 
superior 
to truli
the astonish
other." 
Elinor 
said cri
no after
more, hear
and what
John she
was said
also 
for what
a could
short 
time 
silent. colonel
- motive
His 
reflections veri
ended simple
thus. one
"Of 
_one_ 
thing, 
my 
dear use
sister," 
kindly mr
taking ferrar
her well
hand, well
and whatever
speaking colonel
in brandon
an may
awful 
whisper, edward
"I 
may 
assure veri
you; lucki
- man
and 
I you
_will_ will
do not
it, mention
because 
I matter
know 
it fanni
must however
gratify 
you. though
I i
have have
good broke
reason 
to 
think her
- 
indeed she
I bear
have 
it vastli
from well
the 
best she
authority, will
or not
I like
should 
not hear
repeat 
it, much
for talk
otherwise 
it elinor
would had
be some
very difficulti
wrong here
to 
say refrain
any 
thing observ
about 
it, she
- thought
but fanni
I might
have have
it borne
from 
the composure
very 
best acquisition
authority, 
- wealth
not 
that her
I brother
ever 
precisely which
heard neither
Mrs. she
Ferrars nor
say her
it child
herself could
- 
but possibli
her impoverish
daughter mrs
_did_, ferrar
and ad
I 
have lower
it his
from voice
her, 
- 
that tone
in becom
short, so
whatever important
objections 
there subject
might know
be noth
against about
a 
certain 
- present
a 
certain i
connection, believe
you 
understand will
me, 
- best
it 
would keep
have 
been entireli
far conceal
preferable 
to her
her, 
- long
it 
would may
not 
have when
given 
her marriage
half take
the place
vexation i
that fear
_this_ she
does. must
I hear
was 
exceedingly 
pleased all
to but
hear whi
that should
Mrs. such
Ferrars precaution
considered 
it use
in though
that 
light; 
a not
very 
gratifying 
circumstance suppos
you 
know mrs
to ferrar
us can
all. have
'It 
would smallest
have satisfaction
been 
beyond know
comparison,' 
she her
said, son
'the 
least money
evil enough
of 
the live
two, upon
and 
she _that_
would must
be 
glad quite
to out
compound 
_now_ 
for question
nothing yet
worse.' whi
But upon
however, her
all late
that behaviour
is 
quite she
out suppos
of 
the feel
question, 
- all
not she
to 
be done
thought 
of her
or son
mentioned 
- she
as cast
to him
any off
attachment 
you ever
know, 
it 
never made
could all
be: those
all over
